HEADER_TIME_STAMP,X,Y,Z
2017-03-16 12:26:52.487,0.211,0.891,-0.469
2017-03-16 12:26:52.500,0.205,0.891,-0.463
2017-03-16 12:26:52.513,0.205,0.88,-0.457
2017-03-16 12:26:52.525,0.205,0.891,-0.457
2017-03-16 12:26:52.537,0.189,0.897,-0.463
2017-03-16 12:26:52.550,0.176,0.891,-0.452
2017-03-16 12:26:52.562,0.176,0.894,-0.438
2017-03-16 12:26:52.575,0.176,0.894,-0.428
2017-03-16 12:26:52.588,0.188,0.897,-0.437
2017-03-16 12:26:52.600,0.191,0.897,-0.443
2017-03-16 12:26:52.612,0.199,0.9,-0.443
2017-03-16 12:26:52.625,0.205,0.897,-0.455
2017-03-16 12:26:52.638,0.197,0.9,-0.452
2017-03-16 12:26:52.650,0.167,0.894,-0.455
2017-03-16 12:26:52.662,0.155,0.906,-0.457
2017-03-16 12:26:52.675,0.17,0.897,-0.457
2017-03-16 12:26:52.687,0.195,0.881,-0.463
2017-03-16 12:26:52.700,0.246,0.871,-0.466
2017-03-16 12:26:52.713,0.309,0.862,-0.463
2017-03-16 12:26:52.725,0.328,0.856,-0.472
2017-03-16 12:26:52.737,0.337,0.836,-0.467
2017-03-16 12:26:52.750,0.337,0.85,-0.44
2017-03-16 12:26:52.763,0.315,0.87,-0.416
2017-03-16 12:26:52.775,0.296,0.891,-0.413
2017-03-16 12:26:52.787,0.283,0.884,-0.408
2017-03-16 12:26:52.800,0.24,0.862,-0.408
2017-03-16 12:26:52.812,0.245,0.836,-0.41
2017-03-16 12:26:52.825,0.29,0.833,-0.449
2017-03-16 12:26:52.838,0.336,0.818,-0.495
2017-03-16 12:26:52.850,0.352,0.824,-0.516
2017-03-16 12:26:52.862,0.341,0.827,-0.534
2017-03-16 12:26:52.875,0.296,0.833,-0.528
2017-03-16 12:26:52.888,0.256,0.836,-0.511
2017-03-16 12:26:52.900,0.24,0.842,-0.501
2017-03-16 12:26:52.912,0.266,0.848,-0.487
2017-03-16 12:26:52.925,0.296,0.865,-0.493
2017-03-16 12:26:52.937,0.317,0.877,-0.493
2017-03-16 12:26:52.950,0.32,0.877,-0.472
2017-03-16 12:26:52.963,0.314,0.868,-0.45
2017-03-16 12:26:52.975,0.314,0.877,-0.428
2017-03-16 12:26:52.987,0.336,0.869,-0.416
2017-03-16 12:26:53.000,0.34,0.856,-0.416
2017-03-16 12:26:53.013,0.343,0.848,-0.416
2017-03-16 12:26:53.025,0.337,0.842,-0.425
2017-03-16 12:26:53.037,0.331,0.839,-0.437
2017-03-16 12:26:53.050,0.331,0.848,-0.449
2017-03-16 12:26:53.062,0.303,0.865,-0.457
2017-03-16 12:26:53.075,0.299,0.853,-0.452
2017-03-16 12:26:53.088,0.316,0.853,-0.449
2017-03-16 12:26:53.100,0.346,0.853,-0.452
2017-03-16 12:26:53.112,0.36,0.824,-0.443
2017-03-16 12:26:53.125,0.399,0.836,-0.449
2017-03-16 12:26:53.138,0.431,0.819,-0.452
