HEADER_TIME_STAMP,X,Y,Z
2017-03-16 12:25:49.987,0.417,1.277,0.152
2017-03-16 12:25:50.000,0.396,1.249,0.161
2017-03-16 12:25:50.013,0.373,1.224,0.179
2017-03-16 12:25:50.025,0.355,1.182,0.179
2017-03-16 12:25:50.037,0.341,1.148,0.179
2017-03-16 12:25:50.050,0.326,1.117,0.161
2017-03-16 12:25:50.062,0.303,1.078,0.167
2017-03-16 12:25:50.075,0.282,1.021,0.17
2017-03-16 12:25:50.088,0.268,0.964,0.17
2017-03-16 12:25:50.100,0.252,0.915,0.167
2017-03-16 12:25:50.112,0.246,0.873,0.158
2017-03-16 12:25:50.125,0.243,0.824,0.147
2017-03-16 12:25:50.138,0.243,0.804,0.141
2017-03-16 12:25:50.150,0.246,0.792,0.129
2017-03-16 12:25:50.162,0.246,0.783,0.123
2017-03-16 12:25:50.175,0.243,0.777,0.123
2017-03-16 12:25:50.187,0.233,0.763,0.126
2017-03-16 12:25:50.200,0.22,0.739,0.129
2017-03-16 12:25:50.213,0.217,0.721,0.129
2017-03-16 12:25:50.225,0.214,0.721,0.132
2017-03-16 12:25:50.237,0.211,0.744,0.129
2017-03-16 12:25:50.250,0.205,0.765,0.138
2017-03-16 12:25:50.263,0.205,0.782,0.138
2017-03-16 12:25:50.275,0.211,0.821,0.144
2017-03-16 12:25:50.287,0.217,0.875,0.157
2017-03-16 12:25:50.300,0.226,0.93,0.173
2017-03-16 12:25:50.312,0.237,0.961,0.185
2017-03-16 12:25:50.325,0.252,0.974,0.185
2017-03-16 12:25:50.338,0.266,0.987,0.179
2017-03-16 12:25:50.350,0.282,1.05,0.167
2017-03-16 12:25:50.362,0.298,1.157,0.161
2017-03-16 12:25:50.375,0.311,1.255,0.179
2017-03-16 12:25:50.388,0.32,1.319,0.207
2017-03-16 12:25:50.400,0.311,1.323,0.229
2017-03-16 12:25:50.412,0.296,1.264,0.226
2017-03-16 12:25:50.425,0.302,1.191,0.208
2017-03-16 12:25:50.437,0.329,1.164,0.158
2017-03-16 12:25:50.450,0.387,1.173,0.059
2017-03-16 12:25:50.463,0.438,1.19,-0.043
2017-03-16 12:25:50.475,0.475,1.217,-0.141
2017-03-16 12:25:50.487,0.476,1.251,-0.182
2017-03-16 12:25:50.500,0.457,1.276,-0.152
2017-03-16 12:25:50.513,0.432,1.271,-0.088
2017-03-16 12:25:50.525,0.405,1.255,0.003
2017-03-16 12:25:50.537,0.373,1.219,0.065
2017-03-16 12:25:50.550,0.346,1.161,0.085
2017-03-16 12:25:50.562,0.342,1.102,0.064
2017-03-16 12:25:50.575,0.375,1.044,0.018
2017-03-16 12:25:50.588,0.423,0.99,-0.016
2017-03-16 12:25:50.600,0.469,0.941,-0.059
2017-03-16 12:25:50.612,0.503,0.896,-0.084
2017-03-16 12:25:50.625,0.543,0.856,-0.1
2017-03-16 12:25:50.638,0.571,0.825,-0.086
2017-03-16 12:25:50.650,0.595,0.806,-0.053
2017-03-16 12:25:50.662,0.604,0.798,-0.016
2017-03-16 12:25:50.675,0.61,0.798,0.003
2017-03-16 12:25:50.687,0.61,0.811,-0.027
2017-03-16 12:25:50.700,0.625,0.827,-0.088
2017-03-16 12:25:50.713,0.644,0.842,-0.143
2017-03-16 12:25:50.725,0.66,0.839,-0.155
2017-03-16 12:25:50.737,0.663,0.836,-0.133
2017-03-16 12:25:50.750,0.674,0.833,-0.111
2017-03-16 12:25:50.763,0.685,0.827,-0.109
2017-03-16 12:25:50.775,0.704,0.862,-0.123
